climate station,lat,long,crop,avg sowing doy,# values sowing,avg harvest doy,# values harvest,earliest sowing doy,latest sowing doy,earliest harvest doy,latest harvest doy
140,52.6861,11.4272,SBee,86,15,299,15,59,99,279,320
183,54.6792,13.4343,SBee,88,11,286,12,77,98,263,317
640,50.8685,12.7237,SBee,86,6,294,6,77,102,277,314
662,52.2914,10.4465,SBee,84,16,281,16,72,99,260,295
822,51.2066,14.2371,SBee,88,8,279,9,80,101,257,293
1133,52.1014,11.2322,SBee,83,16,290,16,59,98,253,322
1532,53.6865,11.0608,SBee,83,16,280,16,66,99,257,305
1612,50.8813,12.1289,SBee,89,9,283,10,65,110,269,312
1684,51.1622,14.9506,SBee,93,6,289,5,78,104,283,294
1691,51.5003,9.9506,SBee,85,7,288,8,66,102,262,310
1957,51.5138,11.9499,SBee,83,6,269,7,79,92,256,288
2468,50.9352,12.6206,SBee,92,11,278,10,83,104,264,295
2514,54.6667,9.9333,SBee,89,7,290,7,69,111,271,309
2561,49.7167,8.1167,SBee,68,8,266,8,60,80,257,275
2667,50.8646,7.1575,SBee,81,5,274,5,62,99,251,296
2878,51.391,11.8788,SBee,81,5,282,5,75,87,280,285
2928,51.3151,12.4462,SBee,93,3,271,4,90,98,250,289
3126,52.1029,11.5827,SBee,89,16,277,16,67,109,260,293
3196,53.3223,11.9319,SBee,86,3,286,3,73,96,268,319
3302,51.0418,11.0062,SBee,78,5,272,5,69,88,266,279
3314,52.1458,11.9563,SBee,79,15,273,16,63,100,253,319
3478,53.5468,13.1914,SBee,83,4,270,4,80,87,268,275
3637,51.5158,10.7739,SBee,94,7,287,6,79,112,258,298
3684,51.2873,11.0183,SBee,77,16,285,16,67,93,260,314
3761,49.207,9.5175,SBee,82,6,283,6,64,103,268,302
3811,51.296,13.0928,SBee,88,6,271,5,76,104,261,276
4466,54.5275,9.5487,SBee,84,8,293,9,71,114,275,310
4642,52.8911,11.7297,SBee,86,8,289,7,71,130,269,308
5142,53.7444,14.0697,SBee,82,5,274,5,77,86,270,280
5404,48.4025,11.6946,SBee,79,8,288,8,65,90,269,302
5750,51.0314,12.1495,SBee,80,8,266,8,74,96,258,278
7504,54.3167,10.05,SBee,87,4,285,4,77,98,269,309
7559,54.75,9.9,SBee,78,5,290,5,69,90,279,303
7564,54.7167,9.95,SBee,90,8,288,8,72,102,266,319
7566,54.75,9.5167,SBee,81,16,279,16,57,102,259,302
7592,53.4833,10.6333,SBee,86,16,278,14,59,103,259,298
7601,53.6167,10.7,SBee,81,15,285,9,55,103,261,308
7604,53.7,10.7833,SBee,72,4,284,8,58,85,265,306
7605,53.75,10.6167,SBee,96,3,285,3,87,103,283,289
7608,53.5,10.4833,SBee,80,13,282,12,59,113,271,305
7616,54.6167,8.9667,SBee,81,14,286,14,69,106,264,305
7640,54.4333,11.2,SBee,79,4,271,4,71,86,263,274
7646,54.25,10.8333,SBee,83,16,282,16,63,101,265,290
7650,54.1,10.8167,SBee,86,9,286,9,74,100,262,296
7676,54.1167,10.4833,SBee,83,14,295,14,61,104,275,310
7682,54.3167,10.5,SBee,84,5,290,5,65,98,268,305
7684,54.3567,10.182,SBee,76,5,273,5,65,90,264,291
7700,54.1667,10.05,SBee,79,10,297,9,65,92,272,325
7704,54.3167,9.6667,SBee,80,3,281,3,77,85,263,303
7711,54.0833,9.65,SBee,87,13,312,15,69,99,283,343
7721,54.1167,9.4333,SBee,82,8,305,8,71,95,284,335
7730,54.6167,9.8333,SBee,84,16,291,16,76,97,263,309
7748,54.0667,10.2167,SBee,79,14,298,14,65,94,271,335
7761,54.0167,10.1667,SBee,91,9,298,9,76,105,254,353
7770,53.9333,10.2,SBee,87,14,293,13,65,101,255,338
7775,53.95,9.7167,SBee,93,13,299,15,78,109,285,318
7786,53.7333,10.2667,SBee,90,11,288,11,79,105,260,327
7798,53.8667,10.3333,SBee,78,6,284,6,60,93,260,298
7803,53.9,9.1,SBee,83,13,288,12,74,104,268,302
7807,54.15,9.0667,SBee,80,5,289,5,62,93,283,298
7812,53.9833,9.1167,SBee,80,16,308,16,65,97,287,332
7815,53.9667,9.0833,SBee,85,15,283,16,68,102,257,305
